Tube;TubeVide;Tube_masse_seche
1;Date 04.11.2021  Heure 14:20:06;Date 24.11.2021  Heure 10:54:59
1;N         :    +   1.3146 g;N         :    +   1.3292 g
2;Date 04.11.2021  Heure 14:20:35;Date 24.11.2021  Heure 10:55:58
2;N         :    +   1.3197 g;N         :    +   1.3296 g
3;Date 04.11.2021  Heure 14:21:00;Date 24.11.2021  Heure 10:56:53
3;N         :    +   1.3198 g;N         :    +   1.3303 g
4;Date 04.11.2021  Heure 14:21:10;Date 24.11.2021  Heure 10:57:01
4;N         :    +   1.3123 g;N         :    +   1.3226 g
5;Date 04.11.2021  Heure 14:21:19;Date 24.11.2021  Heure 10:57:10
5;N         :    +   1.3194 g;N         :    +   1.3304 g
6;Date 04.11.2021  Heure 14:21:27;Date 24.11.2021  Heure 10:57:19
6;N         :    +   1.3201 g;N         :    +   1.3380 g
7;Date 04.11.2021  Heure 14:21:38;Date 24.11.2021  Heure 10:57:26
7;N         :    +   1.3152 g;N         :    +   1.3254 g
8;Date 04.11.2021  Heure 14:21:50;Date 24.11.2021  Heure 10:57:36
8;N         :    +   1.3068 g;N         :    +   1.3202 g
9;Date 04.11.2021  Heure 14:22:00;Date 24.11.2021  Heure 10:57:43
9;N         :    +   1.3145 g;N         :    +   1.3250 g
10;Date 04.11.2021  Heure 14:22:09;Date 24.11.2021  Heure 10:57:52
10;N         :    +   1.3224 g;N         :    +   1.3360 g
11;Date 04.11.2021  Heure 14:22:20;Date 24.11.2021  Heure 10:58:00
11;N         :    +   1.3196 g;N         :    +   1.3313 g
12;Date 04.11.2021  Heure 14:22:33;Date 24.11.2021  Heure 10:58:07
12;N         :    +   1.3238 g;N         :    +   1.3361 g
13;Date 04.11.2021  Heure 14:22:44;
13;N         :    +   1.3198 g;
14;Date 04.11.2021  Heure 14:23:10;
14;N         :    +   1.3218 g;
15;Date 04.11.2021  Heure 14:23:20;
15;N         :    +   1.3182 g;
16;Date 04.11.2021  Heure 14:23:30;
16;N         :    +   1.3151 g;
17;Date 04.11.2021  Heure 14:23:44;
17;N         :    +   1.3068 g;
18;Date 04.11.2021  Heure 14:23:55;
18;N         :    +   1.3188 g;
19;Date 04.11.2021  Heure 14:24:07;
19;N         :    +   1.3151 g;
20;Date 04.11.2021  Heure 14:24:24;
20;N         :    +   1.3191 g;
21;Date 04.11.2021  Heure 14:25:51;Date 24.11.2021  Heure 10:58:28
21;N         :    +   1.3189 g;N         :    +   1.3326 g
22;Date 04.11.2021  Heure 14:26:03;Date 24.11.2021  Heure 10:58:36
22;N         :    +   1.3221 g;N         :    +   1.3403 g
23;Date 04.11.2021  Heure 14:26:13;Date 24.11.2021  Heure 10:58:43
23;N         :    +   1.3223 g;N         :    +   1.3392 g
24;Date 04.11.2021  Heure 14:26:21;Date 24.11.2021  Heure 10:58:50
24;N         :    +   1.3225 g;N         :    +   1.3379 g
25;Date 04.11.2021  Heure 14:26:53;Date 24.11.2021  Heure 10:58:56
25;N         :    +   1.3147 g;N         :    +   1.3299 g
26;Date 04.11.2021  Heure 14:27:02;Date 24.11.2021  Heure 10:59:03
26;N         :    +   1.3126 g;N         :    +   1.3293 g
27;Date 04.11.2021  Heure 14:27:10;Date 24.11.2021  Heure 10:59:11
27;N         :    +   1.3142 g;N         :    +   1.3310 g
28;Date 04.11.2021  Heure 14:27:17;Date 24.11.2021  Heure 10:59:18
28;N         :    +   1.3128 g;N         :    +   1.3333 g
29;Date 04.11.2021  Heure 14:27:26;Date 24.11.2021  Heure 10:59:35
29;N         :    +   1.3201 g;N         :    +   1.3375 g
30;Date 04.11.2021  Heure 14:27:52;Date 24.11.2021  Heure 10:59:46
30;N         :    +   1.3192 g;N         :    +   1.3393 g
31;Date 04.11.2021  Heure 14:28:00;Date 24.11.2021  Heure 10:59:53
31;N         :    +   1.3148 g;N         :    +   1.3329 g
32;Date 04.11.2021  Heure 14:28:09;Date 24.11.2021  Heure 11:00:01
32;N         :    +   1.3174 g;N         :    +   1.3393 g
33;Date 04.11.2021  Heure 14:28:25;
33;N         :    +   1.3145 g;
34;Date 04.11.2021  Heure 14:28:33;
34;N         :    +   1.3134 g;
35;Date 04.11.2021  Heure 14:28:44;
35;N         :    +   1.3128 g;
36;Date 04.11.2021  Heure 14:28:52;
36;N         :    +   1.3077 g;
37;Date 04.11.2021  Heure 14:29:10;
37;N         :    +   1.3182 g;
38;Date 04.11.2021  Heure 14:29:24;
38;N         :    +   1.3183 g;
39;Date 04.11.2021  Heure 14:29:35;
39;N         :    +   1.3136 g;
40;Date 04.11.2021  Heure 14:29:47;
40;N         :    +   1.3200 g;
41;Date 04.11.2021  Heure 14:30:12;Date 24.11.2021  Heure 11:00:24
41;N         :    +   1.3155 g;N         :    +   1.3287 g
42;Date 04.11.2021  Heure 14:30:22;Date 24.11.2021  Heure 11:00:33
42;N         :    +   1.3128 g;N         :    +   1.3254 g
43;Date 04.11.2021  Heure 14:30:34;Date 24.11.2021  Heure 11:00:39
43;N         :    +   1.3134 g;N         :    +   1.3259 g
44;Date 04.11.2021  Heure 14:30:43;Date 24.11.2021  Heure 11:00:46
44;N         :    +   1.3193 g;N         :    +   1.3371 g
45;Date 04.11.2021  Heure 14:30:51;Date 24.11.2021  Heure 11:00:53
45;N         :    +   1.3184 g;N         :    +   1.3334 g
46;Date 04.11.2021  Heure 14:30:59;Date 24.11.2021  Heure 11:01:00
46;N         :    +   1.3153 g;N         :    +   1.3279 g
47;Date 04.11.2021  Heure 14:31:09;Date 24.11.2021  Heure 11:01:18
47;N         :    +   1.3145 g;N         :    +   1.3330 g
48;Date 04.11.2021  Heure 14:31:18;Date 24.11.2021  Heure 11:01:28
48;N         :    +   1.3200 g;N         :    +   1.3395 g
49;Date 04.11.2021  Heure 14:31:27;Date 24.11.2021  Heure 11:01:49
49;N         :    +   1.3237 g;N         :    +   1.3432 g
50;Date 04.11.2021  Heure 14:31:35;Date 24.11.2021  Heure 11:01:56
50;N         :    +   1.3090 g;N         :    +   1.3262 g
51;Date 04.11.2021  Heure 14:31:44;Date 24.11.2021  Heure 11:02:04
51;N         :    +   1.3194 g;N         :    +   1.3420 g
52;Date 04.11.2021  Heure 14:31:53;Date 24.11.2021  Heure 11:02:12
52;N         :    +   1.3148 g;N         :    +   1.3331 g
53;Date 04.11.2021  Heure 14:32:11;
53;N         :    +   1.3156 g;
54;Date 04.11.2021  Heure 14:32:20;
54;N         :    +   1.3205 g;
55;Date 04.11.2021  Heure 14:32:33;
55;N         :    +   1.3187 g;
56;Date 04.11.2021  Heure 14:32:42;
56;N         :    +   1.3185 g;
57;Date 04.11.2021  Heure 14:32:49;
57;N         :    +   1.3136 g;
58;Date 04.11.2021  Heure 14:33:02;
58;N         :    +   1.3196 g;
59;Date 04.11.2021  Heure 14:33:11;
59;N         :    +   1.3230 g;
60;Date 04.11.2021  Heure 14:33:21;
60;N         :    +   1.3128 g;
61;Date 04.11.2021  Heure 14:33:36;Date 24.11.2021  Heure 11:02:36
61;N         :    +   1.3220 g;N         :    +   1.3442 g
62;Date 04.11.2021  Heure 14:33:43;Date 24.11.2021  Heure 11:02:44
62;N         :    +   1.3225 g;N         :    +   1.3512 g
63;Date 04.11.2021  Heure 14:33:51;Date 24.11.2021  Heure 11:02:51
63;N         :    +   1.3199 g;N         :    +   1.3486 g
64;Date 04.11.2021  Heure 14:34:01;Date 24.11.2021  Heure 11:02:58
64;N         :    +   1.3149 g;N         :    +   1.3458 g
65;Date 04.11.2021  Heure 14:34:09;Date 24.11.2021  Heure 11:03:05
65;N         :    +   1.3132 g;N         :    +   1.3338 g
66;Date 04.11.2021  Heure 14:34:35;Date 24.11.2021  Heure 11:03:12
66;N         :    +   1.3158 g;N         :    +   1.3316 g
67;Date 04.11.2021  Heure 14:34:43;Date 24.11.2021  Heure 11:03:19
67;N         :    +   1.3078 g;N         :    +   1.3295 g
68;Date 04.11.2021  Heure 14:34:51;Date 24.11.2021  Heure 11:03:26
